"Gene","Macrophages","Monocytes","Kupffercells","Microglialcells","DominantCell"
"SLC12A8",0.6,0,0.3,7.2,"microglial"
"SLC15A3",85.6,134.2,60,4.5,"none"
"SLC25A37",93.1,245,63.9,69.8,"monocytes"
"SLC2A3",332.2,309.8,99.4,33.1,"macrophages;monocytes"
"SLCO2B1",104.1,1.1,167.9,221.9,"none"
"SLPI",68.4,1.5,26.6,0,"macrophages"
"SOCS3",253.2,413.5,81.4,0.9,"monocytes;macrophages"
"SPINT2",103,22.8,40.5,23.3,"macrophages"
"SRGN",3447.1,10974.4,1615.7,76.9,"monocytes"
"STAB1",214.5,6.7,201.1,28.6,"macrophages;kupffer"
"STAT1",85.4,66.6,62.8,30.4,"none"
"STAT3",141.8,213.8,62.5,49.2,"monocytes;macrophages"
"SULF1",1,0,0,0.9,"none"
"TAP2",20.4,38.2,24,13.4,"none"
"TFF3",4.1,0,4.9,0,"none"
"TFRC",184.2,612.3,47.1,42,"monocytes"
"TGFB1",171.5,202.5,119.9,28.6,"none"
"TGFBI",234.9,95.8,248,4.5,"kupffer;macrophages"
"TGM3",0.4,0,0,0,"none"
"TIAM2",4.6,21.5,1.9,4.5,"monocytes"
"TIMP1",1436.7,6291.5,786.8,6.3,"monocytes"
"TKTL1",1.8,2.4,0,0.9,"none"
"TLR2",117.2,342.1,106.9,32.2,"monocytes"
"TLR4",80.4,178,156.6,25,"none"
"TLR7",23.2,7.4,4.7,13.4,"none"
"TLR8",21.5,51,47.8,0,"monocytes;kupffer"
"TMEM176B",170.9,139.6,130,8.1,"none"
"TMEM71",23.1,17.1,19.6,17,"none"
"TMPRSS11D",2.7,0,0,0.9,"none"
"TNF",158.2,97.8,9.4,1.8,"macrophages;monocytes"
"TNFRSF10B",36.1,93.7,23.4,36.7,"monocytes"
"TNFRSF10D",14.1,6.1,5.6,18.8,"microglial;macrophages"
"TNFRSF1A",110.9,100.4,153.2,31.3,"none"
"TNFRSF1B",265.8,743.2,240.4,29.5,"monocytes"
"TNFSF10",62,29.7,62.6,50.1,"none"
"TNFSF14",14.3,2.2,3,0.9,"macrophages"
"TNFSF9",26.6,16.3,1.5,0,"macrophages;monocytes"
"TPSAB1",3.1,0,0,0,"none"
"TPSD1",0.1,0,0,0,"none"
"TPST1",8,1.3,15.2,31.3,"microglial"
"TREM2",112.7,0.2,24.2,11.6,"macrophages"
"TREML2",1.1,9.3,1.2,0,"monocytes"
"TRPM2",19.3,2.8,6.3,25.9,"microglial;macrophages"
"TRPV4",4,0,14.6,1.8,"kupffer"
"TSLP",1.8,0.9,1,0,"none"
"TSPO",670.6,677.3,549.8,9.8,"none"
"TUBA1B",636.7,575.4,294.7,65.3,"none"
"TUG1",46.2,48.6,31.1,57.3,"none"
"UPK3A",6.4,10.6,4.4,0,"none"
"VAMP5",131.1,306.1,258,4.5,"none"
"VCAN",552.5,123.6,545.7,19.7,"macrophages;kupffer"
"VEGFA",172.6,105.4,32.3,9.8,"macrophages;monocytes"
"VIM",3445.7,3546.2,2302.5,81.4,"none"
"VNN1",22.6,181.9,24,0,"monocytes"
"VNN2",35.3,51.2,27.8,1.8,"none"
"VSTM1",4.4,27.3,3,0,"monocytes"
"WFDC2",40.4,0,1.9,1.8,"macrophages"
"WNT5A",8.6,0,2.4,5.4,"macrophages;microglial"
"XAF1",40.4,23.8,23.1,98.4,"microglial"
"YBX1",1158.1,2014.4,1085.1,18.8,"none"
"YWHAH",285.5,78.9,129.1,63.5,"macrophages"
"ZBTB16",71.5,399.4,99.2,62.6,"monocytes"
"ZFP36L2",626.4,800.5,377.9,93,"none"
